top -b -n 1 > 03.txt 2>&1


top - 00:42:47 up 15 min,  1 user,  load average: 0.18, 0.90, 1.15
Tasks: 420 total,   1 running, 415 sleeping,   0 stopped,   4 zombie
%Cpu(s):  5.6 us,  3.3 sy,  0.0 ni, 91.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31054.8 total,  21310.7 free,   6937.4 used,   3604.9 buff/cache     
MiB Swap:   7630.0 total,   7630.0 free,      0.0 used.  24117.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3017 whoami    20   0    7928   4072   3592 S   0.0   0.0   0:00.12 mpris-p+
   3020 whoami     9 -11  486072  22196  15272 S   0.0   0.1   0:03.24 wireplu+
   3024 whoami     9 -11  202584  23280   9340 S   0.0   0.1   0:03.41 pipewir+
   3050 whoami    20   0  616124   7524   6784 S   0.0   0.0   0:00.06 xdg-doc+
   3061 whoami    20   0  310072   6412   5888 S   0.0   0.0   0:00.02 xdg-per+
   3071 root      20   0    2936   2188   2072 S   0.0   0.0   0:00.00 fusermo+
   3106 whoami    20   0  170896   6348   5848 S   0.0   0.0   0:00.00 gdm-way+
   3119 whoami    20   0  165232   6448   5960 S   0.0   0.0   0:00.03 gnome-s+
   3161 whoami    20   0   97536   7332   6644 S   0.0   0.0   0:00.00 gcr-ssh+
   3162 whoami    20   0   89948   5468   5068 S   0.0   0.0   0:00.00 gnome-s+
   3164 whoami    20   0   10632   6420   5436 S   0.0   0.0   0:00.00 ssh-age+
   3171 root      20   0       0      0      0 I   0.0   0.0   0:00.85 kworker+
   3180 whoami    20   0  315640   8368   7468 S   0.0   0.0   0:00.05 gvfsd
   3202 whoami    20   0  401132   7516   6724 S   0.0   0.0   0:00.00 gvfsd-f+
   3205 whoami    20   0  536824   9604   8340 S   0.0   0.0   0:00.19 gnome-s+
   3230 whoami    20   0 4993108 385048 169628 S   0.0   1.2   3:02.33 gnome-s+
   3269 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3280 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3281 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3282 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3285 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3286 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3287 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3301 whoami    20   0  381324   7684   6984 S   0.0   0.0   0:00.02 at-spi-+
   3308 whoami    20   0    8820   5028   4420 S   0.0   0.0   0:00.07 dbus-da+
   3310 whoami    20   0  168860   7280   6588 S   0.0   0.0   0:00.04 at-spi2+
   3329 whoami    20   0  658596  18168  15436 S   0.0   0.1   0:00.02 gnome-s+
   3337 whoami    20   0  602324  42568  34528 S   0.0   0.1   0:00.11 evoluti+
   3349 whoami    20   0 2738608  31164  25256 S   0.0   0.1   0:00.10 gjs
   3359 whoami    20   0  388412  11472   7440 S   0.0   0.0   0:02.19 ibus-da+
   3368 whoami    20   0  251100   8612   7700 S   0.0   0.0   0:00.03 gsd-a11+
   3370 whoami    20   0  248944   8376   7524 S   0.0   0.0   0:00.04 gsd-col+
   3373 whoami    20   0  257532  10376   9188 S   0.0   0.0   0:00.04 gsd-dat+
   3377 whoami    20   0  387672   8996   7900 S   0.0   0.0   0:00.16 gsd-hou+
   3378 whoami    20   0  385840   7596   6836 S   0.0   0.0   0:00.04 gsd-key+
   3385 whoami    20   0  540632  12796  11132 S   0.0   0.0   0:00.16 gsd-med+
   3389 whoami    20   0  464492   9892   8668 S   0.0   0.0   0:00.10 gsd-pow+
   3391 whoami    20   0  324304  12064  10448 S   0.0   0.0   0:00.04 gsd-pri+
   3392 whoami    20   0  385996   7792   6992 S   0.0   0.0   0:00.05 gsd-rfk+
   3396 whoami    20   0  172576   6888   6204 S   0.0   0.0   0:00.05 gsd-scr+
   3401 whoami    20   0  470036  12144  10344 S   0.0   0.0   0:00.10 gsd-sha+
   3403 whoami    20   0       0      0      0 Z   0.0   0.0   0:00.00 sh
   3404 whoami    20   0  388180   9096   8024 S   0.0   0.0   0:00.03 gsd-sma+
   3407 whoami    20   0       0      0      0 Z   0.0   0.0   0:00.05 snap
   3410 whoami    20   0  257508   9820   8660 S   0.0   0.0   0:00.04 gsd-sou+
   3412 whoami    20   0       0      0      0 Z   0.0   0.0   0:00.11 ubuntu-+
   3414 whoami    20   0  569436  31728  24360 S   0.0   0.1   0:00.17 update-+
   3415 whoami    20   0  981960  63464  50024 S   0.0   0.2   0:00.20 evoluti+
   3416 whoami    20   0  468808   7988   7144 S   0.0   0.0   0:00.04 gsd-usb+
   3417 whoami    20   0  392984   9928   8764 S   0.0   0.0   0:00.04 gsd-wwan
   3421 whoami    20   0       0      0      0 Z   0.0   0.0   0:00.00 ubuntu-+
   3422 whoami    20   0  306284   8288   6460 S   0.0   0.0   0:00.01 gsd-dis+
   3455 whoami    20   0  541484  28988  24004 S   0.0   0.1   0:00.03 goa-dae+
   3500 whoami    20   0    3948   2260   2120 S   0.0   0.0   0:00.00 bwrap
   3515 whoami    20   0    3948   1460   1248 S   0.0   0.0   0:00.00 bwrap
   3522 whoami    20   0  212076   6008   5388 S   0.0   0.0   0:00.05 glycin-+
   3532 whoami    20   0  389924  11348   9032 S   0.0   0.0   0:00.17 gvfs-ud+
   3538 whoami    20   0  396168  10184   8948 S   0.0   0.0   0:00.00 gsd-pri+
   3549 whoami    20   0  390520   9664   8600 S   0.0   0.0   0:00.02 goa-ide+
   3554 whoami    20   0 2737604  30804  25136 S   0.0   0.1   0:00.07 gjs
   3578 whoami    20   0  171960   7584   6948 S   0.0   0.0   0:00.00 ibus-me+
   3581 whoami    20   0  499168  34084  20092 S   0.0   0.1   0:02.31 ibus-ex+
   3588 whoami    20   0  894776  24252  20860 S   0.0   0.1   0:00.05 evoluti+
   3592 whoami    20   0  311284   7764   7096 S   0.0   0.0   0:00.04 ibus-po+
   3600 whoami    39  19  735688  27420  18720 S   0.0   0.1   0:00.16 localse+
   3649 whoami    20   0  310536   6976   6340 S   0.0   0.0   0:00.00 gvfs-go+
   3659 whoami    20   0  761904  28888  24968 S   0.0   0.1   0:00.02 evoluti+
   3661 whoami    20   0  392596   8980   7740 S   0.0   0.0   0:00.04 gvfs-af+
   3674 whoami    20   0  310776   7272   6408 S   0.0   0.0   0:00.02 gvfs-mt+
   3684 whoami    20   0  311732   7656   6668 S   0.0   0.0   0:00.02 gvfs-gp+
   3708 whoami    20   0  172080   7788   7000 S   0.0   0.0   0:00.75 ibus-en+
   3733 whoami    20   0  165544   6332   5600 S   0.0   0.0   0:00.04 dconf-s+
   3742 whoami    20   0  815828  11260   8636 S   0.0   0.0   0:00.16 gvfsd-t+
   3762 whoami    20   0  976068  20068  15744 S   0.0   0.1   0:00.45 xdg-des+
   3768 whoami    20   0  893548  42236  31948 S   0.0   0.1   0:00.43 xdg-des+
   3810 whoami    20   0  492128  27076  19696 S   0.0   0.1   0:00.19 xdg-des+
   3825 whoami    20   0 2941856  79088  64308 S   0.0   0.2   0:01.16 gjs
